workclass,education,marital-status,occupation,relationship,race
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, 5th-6th, Divorced, Transport-moving, Unmarried, White
 Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White
 Private, Some-college, Divorced, Sales, Unmarried, Asian-Pac-Islander
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 Private, Some-college, Separated, Adm-clerical, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Other-service, Wife, White
 Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, 11th, Separated, Craft-repair, Own-child, White
 ?, Assoc-voc, Married-civ-spouse, ?, Wife, White
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Assoc-acdm, Never-married, Other-service, Own-child, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Black
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander
 Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White
 State-gov, Masters, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
 Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, 11th, Separated, Other-service, Unmarried, Black
 Private, HS-grad, Separated, Transport-moving, Unmarried, Black
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White
 Private, HS-grad, Never-married, Sales, Own-child, White
 ?, HS-grad, Married-civ-spouse, ?, Wife, White
 ?, Some-college, Never-married, ?, Unmarried, White
 Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Wife, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 ?, 9th, Married-civ-spouse, ?, Husband, Black
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White
 Private, HS-grad, Never-married, Transport-moving, Own-child, Black
 Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White
 Federal-gov, Assoc-voc, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 State-gov, Some-college, Divorced, Protective-serv, Other-relative, White
 Private, Masters, Never-married, Exec-managerial, Not-in-family, White
 ?, 11th, Never-married, ?, Own-child, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, 11th, Never-married, Other-service, Own-child, White
 Private, HS-grad, Never-married, Sales, Unmarried, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
 Self-emp-not-inc, Some-college, Separated, Handlers-cleaners, Own-child, White
 ?, 7th-8th, Married-civ-spouse, ?, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White
 Private, 12th, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Adm-clerical, Own-child, White
 Private, 10th, Married-civ-spouse, Transport-moving, Husband, White
 Private, 7th-8th, Married-spouse-absent, Other-service, Unmarried, White
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black
 Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White
 Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 State-gov, 10th, Divorced, Other-service, Not-in-family, Black
 Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, 7th-8th, Never-married, Other-service, Other-relative, White
 Private, 9th, Widowed, Other-service, Unmarried, Black
 Local-gov, Some-college, Married-civ-spouse, Other-service, Husband, White
 Private, 9th, Married-civ-spouse, Adm-clerical, Husband, Black
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black
 Private, Some-college, Never-married, Sales, Not-in-family, White
 Private, Some-college, Separated, Sales, Unmarried, Black
 Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Divorced, Prof-specialty, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White
 ?, 9th, Never-married, ?, Not-in-family, White
 Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Black
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Never-married, Other-service, Own-child, White
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White
 Private, Some-college, Never-married, Other-service, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, White
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black
 Private, HS-grad, Divorced, Other-service, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo
 Private, 11th, Never-married, Farming-fishing, Own-child, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, Bachelors, Never-married, Sales, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White
 Private, 11th, Never-married, Sales, Own-child, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 State-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, Black
 Private, HS-grad, Never-married, Exec-managerial, Other-relative, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White
 Federal-gov, Assoc-acdm, Never-married, Transport-moving, Not-in-family, Black
 Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White
 ?, Some-college, Married-civ-spouse, ?, Wife, White
 Local-gov, Masters, Never-married, Prof-specialty, Own-child, White
 Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Black
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Never-married, Tech-support, Own-child, Black
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White
 Self-emp-not-inc, Some-college, Divorced, Tech-support, Not-in-family, White
 Private, Some-college, Never-married, Tech-support, Own-child, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Private, 7th-8th, Never-married, Other-service, Other-relative, White
 Private, 9th, Married-spouse-absent, Craft-repair, Not-in-family, White
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, White
 Private, 12th, Never-married, Craft-repair, Other-relative, Other
 Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White
 Private, HS-grad, Never-married, Sales, Own-child, White
 Private, 9th, Divorced, Handlers-cleaners, Not-in-family, White
 Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Transport-moving, Wife, White
 Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White
 Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Other-service, Own-child, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White
 Federal-gov, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White
 Private, Some-college, Never-married, Adm-clerical, Own-child, White
 Federal-gov, HS-grad, Divorced, Craft-repair, Unmarried, White
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 State-gov, HS-grad, Never-married, Other-service, Unmarried, Black
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, 1st-4th, Widowed, Other-service, Unmarried, Other
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White
 Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, White
 ?, Bachelors, Married-civ-spouse, ?, Husband, White
 Private, HS-grad, Never-married, Sales, Own-child, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander
 Private, HS-grad, Never-married, Craft-repair, Other-relative, White
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 State-gov, Bachelors, Never-married, Prof-specialty, Own-child, White
 ?, Some-college, Widowed, ?, Not-in-family, White
 Local-gov, HS-grad, Divorced, Other-service, Unmarried, White
 Private, HS-grad, Divorced, Craft-repair, Other-relative, White
 Private, 7th-8th, Never-married, Farming-fishing, Unmarried, Other
 Private, HS-grad, Never-married, Adm-clerical, Unmarried, White
 Private, Assoc-voc, Never-married, Other-service, Other-relative, White
 Private, Some-college, Never-married, Sales, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White
 State-gov, Some-college, Never-married, Transport-moving, Not-in-family, Black
 Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White
 Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, 12th, Never-married, Exec-managerial, Not-in-family, White
 ?, HS-grad, Widowed, ?, Unmarried, White
 Private, Bachelors, Never-married, Sales, Not-in-family, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White
 Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Black
 Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 ?, HS-grad, Married-civ-spouse, ?, Husband, White
 Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White
 ?, Bachelors, Married-civ-spouse, ?, Husband, White
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White
 Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Unmarried, White
 Private, 10th, Widowed, Sales, Unmarried, Black
 Private, Bachelors, Divorced, Sales, Not-in-family, Black
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White
 Federal-gov, Bachelors, Divorced, Protective-serv, Not-in-family, White
 Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 ?, HS-grad, Married-civ-spouse, ?, Husband, White
 Private, Some-college, Never-married, Prof-specialty, Own-child, White
 Federal-gov, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander
 State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White
 Private, 11th, Never-married, Other-service, Own-child, White
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Local-gov, Some-college, Divorced, Other-service, Other-relative, White
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, White
 Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White
 Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Own-child, White
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Never-married, Sales, Not-in-family, White
 ?, 7th-8th, Divorced, ?, Own-child, White
 Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Self-emp-not-inc, Bachelors, Separated, Craft-repair, Own-child, White
 ?, Bachelors, Married-civ-spouse, ?, Husband, White
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander
 Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White
 Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Divorced, Adm-clerical, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Assoc-voc, Never-married, Adm-clerical, Own-child, Black
 Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White
 Local-gov, HS-grad, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander
 Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White
 Private, 12th, Married-civ-spouse, Transport-moving, Husband, White
 ?, Masters, Never-married, ?, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White
 Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White
 Local-gov, 11th, Divorced, Sales, Unmarried, White
 State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White
 Private, Some-college, Never-married, Tech-support, Own-child, White
 Private, Bachelors, Divorced, Sales, Not-in-family, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White
 ?, HS-grad, Divorced, ?, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White
 Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Wife, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Bachelors, Divorced, Sales, Unmarried, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Divorced, Other-service, Unmarried, Black
 Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White
 Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, 11th, Divorced, Other-service, Not-in-family, White
 Private, Assoc-voc, Divorced, Other-service, Unmarried, White
 Private, 5th-6th, Married-spouse-absent, Craft-repair, Other-relative, White
 Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White
 ?, 10th, Never-married, ?, Unmarried, Black
 Federal-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 ?, 10th, Married-civ-spouse, ?, Husband, White
 Private, Assoc-voc, Never-married, Tech-support, Unmarried, Black
 Private, HS-grad, Never-married, Other-service, Unmarried, White
 Federal-gov, Some-college, Divorced, Adm-clerical, Other-relative, Black
 Private, HS-grad, Separated, Sales, Not-in-family, White
 Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, 7th-8th, Never-married, Handlers-cleaners, Unmarried, White
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Bachelors, Separated, Exec-managerial, Not-in-family, White
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White
 Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White
 Private, HS-grad, Never-married, Sales, Not-in-family, White
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Other-relative, White
 Local-gov, Bachelors, Separated, Prof-specialty, Unmarried, Black
 Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 State-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Own-child, Black
 State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Own-child, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Some-college, Never-married, Sales, Other-relative, White
 Private, Some-college, Divorced, Other-service, Not-in-family, White
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White
 Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White
 Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White
 State-gov, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Black
 Private, 11th, Never-married, Transport-moving, Not-in-family, White
 Private, Bachelors, Never-married, Craft-repair, Not-in-family, White
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Never-married, Sales, Not-in-family, White
 ?, Some-college, Never-married, ?, Unmarried, White
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Separated, Exec-managerial, Unmarried, White
 Federal-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White
 Private, Some-college, Never-married, Other-service, Not-in-family, White
 Private, Assoc-acdm, Never-married, Other-service, Own-child, White
 Private, HS-grad, Never-married, Tech-support, Not-in-family, White
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White
 Self-emp-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White
 Private, HS-grad, Never-married, Sales, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
 Private, 10th, Never-married, Other-service, Own-child, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White
 Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White
 Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White
 Local-gov, Masters, Widowed, Prof-specialty, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Bachelors, Never-married, Adm-clerical, Own-child, White
 Private, Some-college, Never-married, Adm-clerical, Own-child, Black
 Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, 11th, Never-married, Exec-managerial, Own-child, White
 Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White
 Private, Some-college, Never-married, Prof-specialty, Not-in-family, White
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Private, HS-grad, Divorced, Exec-managerial, Unmarried, White
 ?, Bachelors, Never-married, ?, Not-in-family, White
 Private, Some-college, Separated, Tech-support, Unmarried, White
 Private, Some-college, Married-spouse-absent, Adm-clerical, Own-child, White
 State-gov, Masters, Divorced, Prof-specialty, Not-in-family, White
 Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Unmarried, White
 Local-gov, 9th, Never-married, Other-service, Own-child, White
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, Some-college, Divorced, Craft-repair, Own-child, White
 State-gov, Assoc-acdm, Separated, Other-service, Unmarried, Black
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black
 Federal-gov, 11th, Widowed, Adm-clerical, Not-in-family, White
 Private, 12th, Never-married, Adm-clerical, Own-child, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White
 State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 ?, 10th, Never-married, ?, Own-child, White
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Bachelors, Never-married, Sales, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Federal-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Divorced, Sales, Not-in-family, White
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White
 Private, Bachelors, Widowed, Exec-managerial, Unmarried, White
 Private, Masters, Separated, Other-service, Own-child, White
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White
 Local-gov, 11th, Never-married, Prof-specialty, Own-child, White
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White
 Private, Assoc-acdm, Never-married, Craft-repair, Own-child, Other
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White
 Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black
 Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Wife, White
 Private, HS-grad, Never-married, Exec-managerial, Other-relative, White
 Private, Some-college, Never-married, Prof-specialty, Own-child, White
 ?, HS-grad, Married-civ-spouse, ?, Husband, White
 State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
 Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Bachelors, Divorced, Sales, Not-in-family, White
 Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White
 ?, 9th, Separated, ?, Own-child, Black
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Own-child, Black
 Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black
 Federal-gov, 12th, Never-married, Other-service, Own-child, White
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Assoc-voc, Separated, Exec-managerial, Unmarried, Black
 Self-emp-not-inc, Assoc-acdm, Divorced, Sales, Not-in-family, White
 Private, 9th, Married-civ-spouse, Transport-moving, Husband, White
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, 5th-6th, Never-married, Machine-op-inspct, Unmarried, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White
 Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White
 Self-emp-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White
 Private, Bachelors, Never-married, Tech-support, Other-relative, White
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White
